Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,distance_to_cbd_km,amenity_score,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Kilimani,Apartment,1,1,60.0,SQ,7000000.0,116666.67,3.85,0.5,2,0.0333,1.0,0,Apartment
Membley,House,6,5,300.0,"Security, SQ",19500000.0,65000.0,12.12,1.5,11,0.0367,0.83,0,House
Ngong Road,Apartment,2,2,56.0,SQ,5360000.0,95714.29,6.88,0.5,4,0.0714,1.0,0,Apartment
Kasarani,Maisonette,4,4,400.0,SQ,12500000.0,31250.0,11.8,0.5,8,0.02,1.0,0,House
South C,Bungalow,3,3,120.0,"SQ, Gate",11000000.0,91666.67,3.4,1.0,6,0.05,1.0,0,House
Parklands,Land,3,3,200.0,SQ,12500000.0,62500.0,2.72,0.5,6,0.03,1.0,0,Other
South B,Maisonette,4,3,220.3177262581352,Gate,17500000.0,79430.74,3.1,0.5,7,0.0318,0.75,0,House
Ngong Road,Land,1,1,23.12,SQ,2435400.0,105337.37,6.88,0.5,2,0.0865,1.0,0,Other
Kileleshwa,Apartment,3,3,90.0,SQ,13800000.0,153333.33,3.33,0.5,6,0.0667,1.0,0,Apartment
Kahawa,Apartment,4,4,105.0,SQ,8400000.0,80000.0,16.05,0.5,8,0.0762,1.0,0,Apartment
Embakasi,Maisonette,4,5,300.0,SQ,9999999.0,33333.33,9.38,0.5,9,0.03,1.25,0,House
Lavington,Commercial,2,3,90.0,SQ,9000000.0,100000.0,5.48,0.5,5,0.0556,1.5,0,Other
Langata,House,4,4,246.0,SQ,38800000.0,157723.58,10.77,0.5,8,0.0325,1.0,0,House
Langata,Townhouse,4,2,170.0,"Gym, Parking, Lift, SQ, Gate, Store",26000000.0,152941.18,10.77,5.5,6,0.0353,0.5,1,House
Nairobi,Maisonette,4,4,297.0,SQ,14000000.0,47138.05,0.0,0.5,8,0.0269,1.0,0,House
Kileleshwa,Apartment,2,2,96.0,SQ,10987788.0,114456.12,3.33,0.5,4,0.0417,1.0,0,Apartment
Embakasi,Apartment,3,5,135.0,SQ,8750000.0,64814.81,9.38,0.5,8,0.0593,1.67,0,Apartment
Kilimani,House,3,3,204.0,SQ,29400000.0,144117.65,3.85,0.5,6,0.0294,1.0,0,House
Lavington,House,1,1,60.0,SQ,7600000.0,126666.67,5.48,0.5,2,0.0333,1.0,0,House
Dagoretti,Bungalow,3,4,200.0,SQ,20000000.0,100000.0,7.67,0.5,7,0.035,1.33,0,House
Kileleshwa,Bungalow,1,1,60.0,"Gym, Lift, SQ",7000000.0,116666.67,3.33,4.0,2,0.0333,1.0,0,House
Dagoretti,Apartment,1,3,80.0,"Parking, SQ, Lift",6500000.0,81250.0,7.67,2.5,4,0.05,3.0,0,Apartment
Parklands,Land,3,3,190.0,SQ,14000000.0,73684.21,2.72,0.5,6,0.0316,1.0,0,Other
Embakasi,Maisonette,3,5,250.0,SQ,9999999.0,40000.0,9.38,0.5,8,0.032,1.67,0,House
Kahawa,Apartment,4,3,105.0,SQ,13000000.0,123809.52,16.05,0.5,7,0.0667,0.75,0,Apartment
Nairobi,Bungalow,2,2,100.0,SQ,2600000.0,26000.0,0.0,0.5,4,0.04,1.0,0,House
Westlands,Land,2,2,270.0,SQ,13500000.0,50000.0,2.93,0.5,4,0.0148,1.0,0,Other
Parklands,Land,3,3,200.0,SQ,19500000.0,97500.0,2.72,0.5,6,0.03,1.0,0,Other
Hurlingham,Apartment,3,3,167.0,SQ,18000000.0,107784.43,4.38,0.5,6,0.0359,1.0,0,Apartment
Nairobi,Apartment,2,2,95.0,SQ,8000000.0,84210.53,0.0,0.5,4,0.0421,1.0,0,Apartment
Westlands,Land,3,3,200.0,SQ,28000000.0,140000.0,2.93,0.5,6,0.03,1.0,0,Other
Westlands,Land,1,1,58.0,SQ,7300000.0,125862.07,2.93,0.5,2,0.0345,1.0,0,Other
Kilimani,Apartment,4,4,400.0,SQ,28000000.0,70000.0,3.85,0.5,8,0.02,1.0,0,Apartment
Dagoretti,Studio,1,2,24.0,SQ,2700000.0,112500.0,7.67,0.5,3,0.125,2.0,0,Apartment
Hurlingham,Apartment,2,3,102.0,SQ,10500000.0,102941.18,4.38,0.5,5,0.049,1.5,0,Apartment
Hurlingham,House,1,2,56.0,SQ,8800000.0,157142.86,4.38,0.5,3,0.0536,2.0,0,House
Imara Daima,Villa,2,1,72.80966680648288,Garden,4500000.0,61804.98,8.83,0.5,3,0.0412,0.5,0,House
Valley Arcade,Apartment,4,4,400.0,SQ,16000000.0,40000.0,3.71,0.5,8,0.02,1.0,0,Apartment
Kilimani,Apartment,2,2,185.0,SQ,11000000.0,59459.46,3.85,0.5,4,0.0216,1.0,0,Apartment
Ruiru,Maisonette,4,4,262.0,SQ,20500000.0,78244.27,22.35,0.5,8,0.0305,1.0,0,House
