Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date,Source
Industrial Area,Townhouse,1,4,142,"Garden, Parking, Balcony, Generator, SQ",2026000000,N/A,PropertyPro
Lavington,Apartment,3,N/A,N/A,None,27000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,27000000,N/A,PropertyPro
Kileleshwa,Apartment,2,N/A,N/A,None,7500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,7500000,N/A,PropertyPro
Kitisuru,House,4,N/A,N/A,None,130000000,N/A,PropertyPro
Lavington,Apartment,4,N/A,N/A,None,21000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,21000000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,N/A,None,7800000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,7800000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,9700000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,9700000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,N/A,None,14950000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14950000,N/A,PropertyPro
Kilimani,Apartment,3,N/A,142,SQ,14000000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,14000000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,124,SQ,12500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,12500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,112,SQ,11500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,11500000,N/A,PropertyPro
Kilimani,Apartment,2,N/A,86,SQ,9500000,N/A,PropertyPro
Nairobi,Apartment,N/A,N/A,N/A,None,9500000,N/A,PropertyPro
Kilimani,Apartment,1,N/A,64,SQ,7500000,N/A,PropertyPro
