Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Nairobi,Apartment,N/A,N/A,N/A,None,20000000,N/A
Riverside,Apartment,3,N/A,N/A,None,16500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,16500000,N/A
Riverside,Apartment,2,N/A,N/A,None,13500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,13500000,N/A
Kileleshwa,Apartment,2,N/A,N/A,None,16000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,16000000,N/A
Kilimani,House,4,N/A,N/A,None,45000000,N/A
Industrial Area,Townhouse,1,5,56,"Swimming Pool, Gym, Garden, Lift, Balcony, CCTV, SQ",17000000,N/A
Lavington,House,3,N/A,N/A,None,35000000,N/A
Kileleshwa,Apartment,4,N/A,N/A,None,25000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,25000000,N/A
Kileleshwa,Apartment,3,N/A,N/A,None,19900000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,19900000,N/A
Lavington,House,7,N/A,N/A,None,105000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,105000000,N/A
Industrial Area,Townhouse,1,4,142,"Garden, Parking, Balcony, Generator, SQ",2026000000,N/A
Lavington,Apartment,3,N/A,N/A,None,27000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,27000000,N/A
Kileleshwa,Apartment,2,N/A,N/A,None,7500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,7500000,N/A
Kitisuru,House,4,N/A,N/A,None,130000000,N/A
Lavington,Apartment,4,N/A,N/A,None,21000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,21000000,N/A
Kilimani,Apartment,2,N/A,N/A,None,7800000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,7800000,N/A
Kilimani,Apartment,3,N/A,N/A,None,9700000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,9700000,N/A
Kilimani,Apartment,3,N/A,N/A,None,14950000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14950000,N/A
Kilimani,Apartment,3,N/A,142,SQ,14000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,14000000,N/A
Kilimani,Apartment,2,N/A,124,SQ,12500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,12500000,N/A
Kilimani,Apartment,2,N/A,112,SQ,11500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,11500000,N/A
Kilimani,Apartment,2,N/A,86,SQ,9500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,9500000,N/A
Kilimani,Apartment,1,N/A,64,SQ,7500000,N/A
Loresho,Villa,4,N/A,N/A,None,35000000,N/A
Kitisuru,Villa,5,5,N/A,None,125000000,N/A
Nairobi,Apartment,5,5,N/A,None,125000000,N/A
Kitisuru,Maisonette,5,5,N/A,None,60000000,N/A
Nairobi,Apartment,5,5,N/A,None,60000000,N/A
Industrial Area,Townhouse,1,4,142,"Garden, Parking, Balcony, Generator, SQ",2026000000,N/A
Kitisuru,Villa,5,5,N/A,None,245000000,N/A
Lavington,Apartment,4,N/A,N/A,None,30000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,30000000,N/A
Industrial Area,Townhouse,1,5,100,"Garden, Parking, Balcony, CCTV, Generator, SQ",2026000000,N/A
Kilimani,Apartment,2,N/A,N/A,None,18500000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,18500000,N/A
Kilimani,Apartment,1,N/A,N/A,None,5000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,5000000,N/A
